rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
Twin/Double room - King - De Luxe Twin/Double room - King - De Luxe,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Deluxe Double Room with Balcony and Hotel Private Beach Access, 2 Twin Beds",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Standard room with double or twin bed twin (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Luxury Guestroom with Lagoon or Side Sea View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
TWIN DELUXE ROOM WITH CITY VIEW,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard twin Standard rate without breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Lagoon View Room Room Only,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 2 Double Beds (Deluxe Two Doubles)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin Room - With Breakfast Premium Sea View-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Kitty Fisher Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Balcony Executive Balcony,room,executive,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Deluxe Studio,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Grand Studio,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite Basic Rate with breakfast,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Suite Terrace,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Noa Garden Twin Room Noa Garden Twin Room All Inclusive (1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Classic Room, Multiple Beds, Non Smoking (1 Double Bed and 1 Twin Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
ALII PARTIAL OCEAN VIEW 1 KING BED (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Executive Executive Room(2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Single Deluxe Bosphorus View Room Bosphorus,room,deluxe,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Cosy,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Room Sea View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, Partial Sea View (2 Twin Beds)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Luxe with bath,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy triple room   in block,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Economy room with 1 double bed (without window) double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Two Bedroom Grand Suite GRAND 2 BR SUITE,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Room /1 King bed/33-40sqm/WiFi CityView/WorkDesk/TeaCoffeeFacility Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Room with Park Access, Guest room, 2 Double, Resort view Room with Park Access, Guest room, 2 Double, Resort view",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium Room (1 Queen Bed and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Resort View 2 Doubles RESORT VIEW 2 DOUBLE BEDS (2 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2-room superior comfort double or twin room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Studio, Accessible",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite City View One Bedroom Suite City,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic,room,classic,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Suite Suite-1 King Bed, Non-Smoking, Superior Room, Terrace, Coffee Maker",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Room - Non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Duplex Villa with King Bed and Private Pool Grand Duplex Villa King Bed - Private Pool (1 Double),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,duplex floor
Deluxe Double Room (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed (1 King Bed) - Package Rate",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Pool Access King,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Single Beds Standard Burj Khalifa View 2 Single Beds Standard Burj Khalifa View,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe Suite Suite Deluxe,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Double room - Complimentary soft minibar, courtesy tray, Chromecast - Snacks, digital press (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Swiss Advantage King park view room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
3-room superior apartment double (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard with 2 separate beds Nonrefundable rate without breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room king bed - Superior - Partial sea view Double room king bed - Superior - Partial sea view sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2 Twin Standard Downtown View non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room, Sea View (1 King Bed and 1 Twin Sofa Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Two-Bedroom Seaview Residence,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Holistic Wellness Room, Wellness Lounge And Beach Access, King Or Two Single Beds, Sea View",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Standard Spacious Ocean View Room Ocean,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Balcony Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Deluxe Room, 1 Queen Bed, Sea View (1 Queen Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Classic 1 King Bed, Ocean front Half Board",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa Bardo Heated Pool,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 bedroom suite Breakfast,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Standard Standart Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Ocean Premium Plus KING OCEAN PREMIUM PLUS - KING OCEAN PREMIUM PLUS (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite - Acropolis - Terrace Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Triple Room (3 Twin Beds),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Junior Suite, Non Smoking",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Twin Room, City View",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa - Sky - Private Pool Villa - Sky - Private Pool pool,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1-room standard room double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite suite room,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Suite (Sea or Marina View) (1 Double Bed),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Grand Suite GRAND SUITE - CITY VIEW City,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Mega Suite (One Bedroom Suite) King Mega Suite (One Bedroom Suite),suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Garden Deluxe,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Waterfront View Room Double Room Only,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Family Room with Bunk Bed (1 Queen Bed, 1 Twin Bed and 1 Twin Bunk Bed)",room,standard,private bathroom,bunk bed,double,undefined,not club,no balcony,undefined,undefined
Twin Room - With Breakfast Club Deluxe Sea & Marina Views-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
Single room - Superior Single room - Superior,room,superior,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Classic Room Single bed(2 Amount),room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Presidential Suite, 1 King Bed, Non Smoking",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Triple Room with Balcony Breakfast,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,with balcony,undefined,undefined
"Family Suite, Balcony, Sea View",suite,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Deluxe Deluxe Sea View Room with Balcony Sea,room,deluxe,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Room, 2 Bedrooms, Smoking (Burj Khalifa View)",room,standard,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
"Apartment, 2 Bedrooms (2 Adults + 3 Children) (4 Twin Beds and 1 Twin Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,2 bedroom,not club,no balcony,undefined,undefined
"Standard Fairmont Gold Palm Sea View Room, Lounge Access, 2 Queen Beds, Balcony Sea",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Guest room, 1 King, City view",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Garden Room (1 King Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standart + double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Standard King ADA,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Quadruple room Quadruple room,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
1 king bed deluxe room (1 King),room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Accessible Room non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard double or twin room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Basic Double Room, Kitchenette (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Room (Non-Smoking) - Main Tower Premium Floor Premier Floor Standard Double(Main Tower) [Basic Plan with breakfast] [Non Smoking] (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Deluxe Room, 1 King Bed (Ocean) Ocean",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Guest room, 2 Double deluxe room, 2 double beds (2 Double)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite 1-Bed Skyline Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE FAMILY DUPLEX,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,duplex floor
Standard Economy Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium King Room-Oceanfront non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Westin Club Suite SeaView, Club lounge access, 1 Bedroom Suite, 1 King, Sofa bed, Balcony Full Board",suite,undefined,private bathroom,undefined,undefined,1 bedroom,club,with balcony,undefined,undefined
Twin room - Premium - De Luxe Twin room - Premium - De Luxe,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Double Bed Room,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Kocatas Mansion Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room King bed Double room King bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard room twin (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe room with 2 twin beds twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Standard Double or Twin Room, 3 Twin Beds",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Comfort for two persons Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
DOUBLES 1 CATEGORY (160*195) Standard rate,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Premium Room, Terrace (2+1) (1 Queen Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa 1BR Overwater Villa,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Privilege, Room, 1 Double Bed (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite View,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe premium room with 1 double bed double,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium PREMIUM ROOM 2 PAX,room,premium,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Double standard,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Deluxe Suite Deluxe One-Bedroom Suite with Kitchenette,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Family Room, Multiple Beds, Connecting Rooms, City View (1 King Bed and 2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic 1 KING BED CLASSIC BURJ KHALIFA VIEW,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Room (1 Queen Bed and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Family Double Room, 1 King Bed (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Double or Twin Room (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room King bed - Executive - Sea View Double room King bed - Executive - Sea View sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Room Twin/Double room - Superior (1 Double or 2 Single),room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
"Family Room, Sea View, 2 Queen Beds",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Suite Mountain View Double(1 Amount) Sofa Bed / Sofa(1 Amount),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Royal Suite 1 Bedroom, Balcony. Includes Theme Park Access, Shuttle to MOE & Dubai Mall",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,with balcony,undefined,undefined
Villa Temoyong (2 Twin Beds),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Comfort business room with Cathedral view twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Economy room with 6 single beds twin (Main Building) in block,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe Double Double with Sofa,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family room Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1 Bedroom Apartment with balcony,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,with balcony,undefined,undefined
"Deluxe Guest room, 2 Double",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Junior Suite Gulf Junior Suite, 1 King Bed",junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin Room - With Breakfast Riviera-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite SUITE ONE BEDROOM WITH VIEWS,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Classic Double Room, 1 Queen Bed",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
deluxe twin room,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Guest Room -Twin Bed Room Only,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Club Room King, Club level, Guest room, 1 King, High floor Club Room King, Club level, Guest room, 1 King, High floor",room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
room loft Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior SUPERIOR ROOM SHEIKH ZAYED VIEW,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Room with 20% discount on F&B,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Room, 1 King Bed, Ocean View (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
ROYAL CLUB Breakfast,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
deluxe apartment,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Sea View Suite Sea View Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
king deluxe one bedroom suite with sea view Breakfast,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite - King - Diplomat Suite - King - Diplomat,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Four Bedroom Garden Villa Four Bedroom Garden Villa Breakfast Included (3 Double 1 Twin),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room, Pool View",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Signature Signature Room, 1 King Bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Premium Room 2 king premium (1 Single),room,premium,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Accessible - 2 Queen, Mobility Accessible, Walk In Shower, Deluxe Room, Patio, Table And Chairs, Non-Smoking Accessible - 2 Queen, Mobility Accessible, Walk In Shower, Deluxe Room, Patio, Table And Chairs, Non-Smoking, Continental Breakfast (2 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room - Single use Breakfast,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
Standard with king-size bed,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin Room Inland View,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Family Suite,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Premier - Sea View Twin/Double room - Premier - Sea View sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Room CLUB SEA VIEW Breakfast,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
1 King Bed Premium Hearing Accessible Double room King bed - Premium - Hearing Accessible (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"JUNIOR SUITE, Lounge Access, 1 King Bed, Living Room Junior Suite, Lounge Access, 1 King Bed, Living Room Non Refundable,Breakfast (1 Double)",room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard DOUBLE STANDARD ROOM,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"2 Bedroom City View, 2 Bedroom Suite, City view Breakfast",suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
"Deluxe Room, Pool Access (2 Twin Beds)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Room partial Sea view Double Half Board,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE PARTIAL SEAVIEW Sea,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Executive Triple Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Comfort Double Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior with balcony (sea view) double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Two Bedroom Deluxe Suite Deluxe Suite, 2 Bedrooms, Connecting Rooms, 1 King Bed and 2 Twin Beds",room,deluxe,private bathroom,double/double-or-twin,double,2 bedroom,not club,no balcony,undefined,undefined
Deluxe room with 2 twin beds,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Luxury King Luxury King,room,luxury,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Presidential Suite, Business Lounge Access (Chakri) (2 King Beds and 1 Twin Bed)",room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Junior Suite, Suite, 1 King",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
one-bedroom king suite - oceanfront Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"superior deluxe sea view, guest room, 2 queen, balcony (2 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Suite 1 bedroom Suite 1 bedroom,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Large Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard SWIM UP OCEAN FRONT Ocean Front,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Diamond Residence 1 Bedroom,room,standard,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Executive Suite Executive Suite room,suite,executive,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Garden GARDEN POOL Pool,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Bedroom Skyline Suite,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Twin room - Smoking Twin room - Smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Superior - Front Sea View Full Board,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior suite room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Oceanview Bedroom,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior room Basic rate without breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single PREMIER LAGOON VIEW ROOM,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Deluxe Double Room, 2 Double Beds (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Room with Double or Twin Beds (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium Suite Suite - Premium (1 Double or 1 Twin),suite,premium,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
3 Ambientes,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Double Balcony Sea view Sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,sea view,undefined
Premier Suite Premier Pierre Suite,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deep Blu Deluxe Sea View Guestroom,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
"Penthouse, 3 Bedrooms, Sea View (Executive Level) (3 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,3 bedroom,not club,no balcony,undefined,penthouse floor
"Royal Room, 1 Double Bed",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One-Bedroom Estrela,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1 King Bed Standard 1 King Bed Standard,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
RAINBOW LAGOON VIEW 1 KING BED (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa - De Luxe - Pool Villa - De Luxe - Pool pool,villa,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Studio Executive Studio,suite,executive,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Triple Room,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Premier Room, 1 King Bed (complimentary airport transfer)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
club intercontinental room - Breakfast,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
1 King Junior Suite,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Classic Twin Room classic room, 2 twin beds, non smoking (1 Twin)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Sea View Residence Junior Suite All Inclusive,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe King Sea View,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"classic double room, 1 queen bed",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Grand Deluxe King Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Superior Double with Balcony,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Studio apartment double,suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
luxury club room double Half Board,room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
